N Threads Tiempo(segundos) Speedup
70000000 1 19.325587 1.000000
70000000 2 11.943500 1.618084
70000000 4 6.429424 3.005804
70000000 8 3.402001 5.680654
70000000 16 1.939115 9.966188
70000000 32 1.029699 18.768192
70000000 64 0.752550 25.680132
70000000 128 0.527163 36.659577
70000000 256 0.476562 40.552100
80000000 1 23.202750 1.000000
80000000 2 14.397143 1.611622
80000000 4 7.761075 2.989631
80000000 8 4.116321 5.636769
80000000 16 2.184534 10.621374
80000000 32 1.222001 18.987509
80000000 64 0.823758 28.166957
80000000 128 0.622451 37.276450
80000000 256 0.608106 38.155735
90000000 1 27.279972 1.000000
90000000 2 16.875913 1.616503
90000000 4 9.154602 2.979919
90000000 8 4.800792 5.682390
90000000 16 2.565840 10.631986
90000000 32 1.366092 19.969350
90000000 64 0.990707 27.535869
90000000 128 0.700524 38.942213
90000000 256 0.738360 36.946709
100000000 1 31.520100 1.000000
100000000 2 19.499321 1.616472
100000000 4 10.536238 2.991590
100000000 8 5.529235 5.700626
100000000 16 2.941653 10.715096
100000000 32 1.611618 19.558044
100000000 64 1.009581 31.220959
100000000 128 0.826522 38.135842
100000000 256 0.731108 43.112788
