N Threads Tiempo(segundos) Speedup
70000000 1 15.138672 1.000000
70000000 2 9.656981 1.567640
70000000 4 5.381720 2.812980
70000000 8 3.093463 4.893763
70000000 16 2.301394 6.578045
70000000 32 1.784232 8.484700
70000000 64 1.626421 9.307967
70000000 128 1.511904 10.012988
70000000 256 1.578506 9.590506
80000000 1 18.017424 1.000000
80000000 2 11.542163 1.561009
80000000 4 6.589402 2.734304
80000000 8 3.677193 4.899777
80000000 16 2.697296 6.679810
80000000 32 2.095704 8.597315
80000000 64 1.838785 9.798548
80000000 128 1.839065 9.797055
80000000 256 1.803372 9.990961
90000000 1 21.113008 1.000000
90000000 2 13.527743 1.560719
90000000 4 7.581099 2.784953
90000000 8 4.421353 4.775237
90000000 16 2.887915 7.310814
90000000 32 2.366585 8.921297
90000000 64 2.162844 9.761686
90000000 128 2.077120 10.164559
90000000 256 2.096519 10.070505
100000000 1 24.409270 1.000000
100000000 2 15.603310 1.564365
100000000 4 8.725405 2.797494
100000000 8 5.060847 4.823159
100000000 16 3.427541 7.121511
100000000 32 2.492240 9.794108
100000000 64 2.388490 10.219540
100000000 128 2.364976 10.321150
100000000 256 2.450329 9.961629
